Date,PAYEMS,USPRIV,CES9091000001,USCONS,MANEMP,Date
2004Q1,100.0,100.0,100.0,100.0,100.0,2004-03-31
2004Q2,100.49640847326,100.58236121,99.963383376053,101.08900827646,100.31497165255,2004-06-30
2004Q3,100.72516813835,100.82516384614,99.926766752106,102.0618556701,100.30797228249,2004-09-30
2004Q4,101.13007274557,101.25691439838,99.890150128158,103.33962538115,100.0,2004-12-31
2005Q1,101.53573988501,101.699618453,100.07323324789,104.26891244373,99.87401133898,2005-03-31
2005Q2,102.13509020756,102.39607864615,100.07323324789,106.47596921737,99.580037796598,2005-06-30
2005Q3,102.61091031096,102.89081183708,100.03661662395,107.6666182663,99.21607055365,2005-09-30
2005Q4,103.05546659346,103.39193457108,100.07323324789,109.37999128793,99.342059214671,2005-12-31
2006Q1,103.74022052432,104.18971466126,100.07323324789,111.64512850298,99.489045985861,2006-03-31
2006Q2,103.95220448064,104.42612775435,100.18308311974,111.7903296065,99.482046615805,2006-06-30
2006Q3,104.34719616904,104.75290724209,100.03661662395,112.06621170321,98.866102050815,2006-09-30
2006Q4,104.65678424913,105.11802398817,99.963383376053,111.58704806157,98.096171344579,2006-12-31
2007Q1,105.07160177518,105.55890245906,100.0,111.89197037898,97.781199692028,2007-03-31
2007Q2,105.28206066706,105.75789108567,99.926766752106,111.61608828227,97.368236858683,2007-06-30
2007Q3,105.3018865047,105.71590265988,100.21969974368,110.01887614346,96.521313081823,2007-09-30
2007Q4,105.52835857315,105.89846103292,100.91541559868,108.75562654276,96.213340799328,2007-12-31
2008Q1,105.43914230376,105.73050732972,100.76894910289,107.53593727312,95.604395604396,2008-03-31
2008Q2,104.99077336017,105.12623911496,101.02526547052,104.73355597503,94.519493245608,2008-06-30
2008Q3,104.27856826951,104.25543567556,101.35481508605,102.2796573254,92.916637502625,2008-09-30
2008Q4,102.8190816062,102.49100900013,101.61113145368,97.299259474372,89.941905228529,2008-12-31
2009Q1,101.04466913727,100.36329116235,102.41669718052,91.346014229708,85.448309652131,2009-03-31
2009Q2,99.897820682924,98.975847527247,103.03917978762,87.26586322056,82.074613284804,2009-06-30
2009Q3,99.315246069146,98.392573525385,103.47857927499,84.027878611878,81.129698327151,2009-09-30
2009Q4,98.967531378201,97.948043887033,103.66166239473,82.09670393495,80.317771400574,2009-12-31
2010Q1,99.036921809946,97.998247439619,107.03039179788,80.397851023668,80.163785259327,2010-03-31
2010Q2,99.518842171082,98.37249210435,116.91688026364,80.092928706258,80.807727304543,2010-06-30
2010Q3,99.401412209666,98.681928546653,105.05309410472,79.875127050966,80.933715965563,2010-09-30
2010Q4,99.755989690564,99.089033718532,105.08971072867,79.381443298969,81.157695807377,2010-12-31
2011Q1,100.11132970368,99.581941325739,105.3460270963,79.526644402498,81.717645411913,2011-03-31
2011Q2,100.60773817694,100.20172700221,104.7235444892,80.267170030492,82.081612654861,2011-06-30
2011Q3,100.92723917586,100.74940212133,104.21091175394,81.080296210251,82.375586197242,2011-09-30
2011Q4,101.33748150859,101.2669551089,103.84474551446,81.472339189778,82.606565409113,2011-12-31
2012Q1,101.99020908633,102.05834565602,103.55181252289,81.675620734718,83.278504934556,2012-03-31
2012Q2,102.18465480167,102.3029738759,103.4053460271,81.617540293306,83.54448099671,2012-06-30
2012Q3,102.57430876455,102.77397447834,103.3321127792,82.19834470742,83.670469657731,2012-09-30
2012Q4,102.99675161276,103.31434726254,102.74624679605,83.113111659649,83.712465878071,2012-12-31
2013Q1,103.46037120068,103.88484217829,102.30684730868,84.24568026717,83.985441310282,2013-03-31
2013Q2,103.91331533757,104.45442430217,101.46466495789,85.01524611587,84.020438160566,2013-06-30
2013Q3,104.32584526696,104.95280866057,100.80556572684,85.813852185277,84.216420522153,2013-09-30
2013Q4,104.75133824404,105.47583839933,100.36616623947,86.133294613039,84.573388395044,2013-12-31
2014Q1,105.20504491315,106.00708326487,99.890150128158,87.67242631044,84.832365087142,2014-03-31
2014Q2,105.86768540971,106.74370630009,99.926766752106,89.05183679396,85.182333589977,2014-06-30
2014Q3,106.42357139589,107.40730598609,100.14646649579,90.634528822419,85.574298313152,2014-09-30
2014Q4,107.04198502387,108.10194059551,100.43939948737,91.375054450414,86.036256736894,2014-12-31
2015Q1,107.44841469552,108.56746444676,100.6224826071,91.97037897488,86.176244138028,2015-03-31
2015Q2,108.05005261472,109.24658159446,100.84218235079,93.524030782634,86.330230279275,2015-06-30
2015Q3,108.49384636501,109.75500666338,101.02526547052,94.496878176274,86.470217680409,2015-09-30
2015Q4,109.11607265407,110.44781568907,101.64774807763,96.26833163932,86.526212640862,2015-12-31
2016Q1,109.54080309893,110.8823046169,101.90406444526,96.965296936257,86.386225239728,2016-03-31
2016Q2,109.91901907856,111.33322379831,102.41669718052,97.299259474372,86.442220200182,2016-06-30
2016Q3,110.5313324488,111.93566642934,102.74624679605,98.272106868012,86.421222090012,2016-09-30
2016Q4,110.88362233304,112.3747193165,103.07579641157,98.998112385654,86.477217050466,2016-12-31
2017Q1,111.27937655366,112.82928966537,102.92932991578,100.29040220706,86.74319311262,2017-03-31
2017Q2,111.71554498178,113.33497635869,102.7096301721,100.97284739364,86.918177364037,2017-06-30
2017Q3,112.06630980159,113.71561056648,102.59978030026,101.68433280093,87.282144606985,2017-09-30
2017Q4,112.54212990499,114.27697756358,102.38008055657,103.15086394657,87.765101140897,2017-12-31
2018Q1,113.0408259749,114.86664110849,102.27023068473,104.5883548715,88.262056414923,2018-03-31
2018Q2,113.52655899712,115.39879876591,102.38008055657,105.69188325831,88.794008539232,2018-06-30
2018Q3,113.89486205792,115.80590393778,102.67301354815,106.79541164513,89.171974522293,2018-09-30
2018Q4,114.30967958396,116.28238129142,102.96594653973,107.68113837665,89.605935465808,2018-12-31
2019Q1,114.58037852099,116.59912006864,103.07579641157,108.01510091477,89.773920347169,2019-03-31
2019Q2,114.92885574416,116.98157986016,103.51519589894,108.88630753594,89.745922866942,2019-06-30
2019Q3,115.3932378643,117.42063274732,104.46722812157,109.24931029476,89.689927906488,2019-09-30
2019Q4,115.84313187232,117.92358106505,104.06444525815,109.7284739364,89.654931056205,2019-12-31
2020Q1,115.02035961019,116.89760300856,105.4192603442,109.7284739364,89.017988381046,2020-03-31
2020Q2,105.10744078937,106.32838600142,105.30941047235,104.12371134021,83.985441310282,2020-06-30
2020Q3,108.17663296274,109.54232615879,114.13401684365,105.3579207202,84.853363197312,2020-09-30
2020Q4,108.66312851718,110.49071690673,105.89527645551,107.44881661101,85.609295163435,2020-12-31
2021Q1,109.84810358238,111.83069536484,105.74880995972,108.14578190794,86.08525232729,2021-03-31
2021Q2,111.25497552272,113.28112163864,105.30941047235,107.63757804559,86.316231539162,2021-06-30
2021Q3,112.69311128395,114.8191759315,105.63896008788,108.23290257006,87.275145236929,2021-09-30
2021Q4,113.09801589117,115.37050221808,105.52911021604,108.87178742558,87.69510744033,2021-12-31
