,actual_values,predicted
2003-02,1.33,1.3230108274615857
2003-03,1.38,1.230934100105447
2003-04,1.31,1.3875214202952943
2003-05,1.28,1.3512500139989307
2003-06,1.45,1.3618628133951696
2003-07,1.04,1.5104173182126592
2003-08,1.01,1.0860717513203297
2003-09,1.17,1.068358008604965
2003-10,1.03,1.2291807192072182
2003-11,1.01,1.1165733414427883
2003-12,0.94,1.131228852479023
2004-01,1.03,1.009453909581024
2004-02,1.04,1.0578269013467205
2004-03,1.05,1.1086352608474368
2004-04,1.03,1.15979680500064
2004-05,1.02,1.2119794017329857
2004-06,1.38,1.1673705995478643
2004-07,1.29,1.4972205910400858
2004-08,1.55,1.3941597628954268
2004-09,1.94,1.6814523779606754
2004-10,1.79,2.0637384229890356
2004-11,2.02,1.9239286132540916
2004-12,1.97,2.154737619488884
2005-01,2.5,2.077632012810081
2005-02,2.52,2.60427114618086
2005-03,2.96,2.6653714872755847
2005-04,2.97,3.0618664257553165
2005-05,3.09,3.0871571980039283
2005-06,3.35,3.13215372004362
2005-07,3.31,3.3758011681058235
2005-08,3.63,3.363791018329166
2005-09,3.93,3.738970889345258
2005-10,4.02,3.9640935487013707
2005-11,4.03,4.023311845462344
2005-12,4.09,4.1075873496974395
2006-01,4.47,4.140811398752124
2006-02,4.52,4.5166819485485465
2006-03,5.0,4.519448923688103
2006-04,4.86,5.033673920828475
2006-05,5.05,4.880411153266712
2006-06,5.05,5.008741240331107
2006-07,5.31,5.047593257869826
2006-08,5.31,5.285006695106192
2006-09,5.34,5.271944995818798
2006-10,5.31,5.258317528275212
2006-11,5.31,5.25004771606411
2006-12,5.17,5.248757345942474
2007-01,5.33,5.098043375218521
2007-02,5.41,5.317641075999369
2007-03,5.3,5.399000496756235
2007-04,5.29,5.268098522190872
2007-05,5.28,5.235254620183115
2007-06,5.31,5.232915970436499
2007-07,5.28,5.1958153019289215
2007-08,4.96,5.163856016732793
2007-09,4.58,4.807283013139092
2007-10,4.6,4.440510582167473
2007-11,4.66,4.508788130457621
2007-12,3.06,4.578419318610656
2008-01,3.22,2.992978310890591
2008-02,3.01,3.1741210954776142
2008-03,2.51,2.9243536913231667
2008-04,2.37,2.4108290617248285
2008-05,1.98,2.2846395237102852
2008-06,2.47,1.9618313565921588
2008-07,2.09,2.416771713337545
2008-08,1.94,2.0647732885531154
2008-09,2.03,1.8658154059809635
2008-10,0.22,1.8864774729692766
2008-11,0.52,0.09226140662110827
2008-12,0.14,0.3995744920743569
2009-01,0.23,0.006917300153030936
2009-02,0.22,0.14440880702935077
2009-03,0.16,0.16547968071816177
2009-04,0.2,0.11300511694941062
2009-05,0.19,0.09434490390412975
2009-06,0.22,0.0
2009-07,0.18,0.1457378392277242
2009-08,0.15,0.10104007061340492
2009-09,0.07,0.12121144111536819
2009-10,0.11,0.034275088951755794
2009-11,0.13,0.07368169650024314
2009-12,0.05,0.16449501491051421
2010-01,0.12,0.12953895311417352
2010-02,0.13,0.1425412768633909
2010-03,0.09,0.17012879627262945
2010-04,0.2,0.13579686790494683
2010-05,0.19,0.2723790008307818
2010-06,0.09,0.25577114938121426
2010-07,0.18,0.09665818984129282
2010-08,0.21,0.18620252444241192
2010-09,0.15,0.23452541158900386
2010-10,0.2,0.13872548784401362
2010-11,0.2,0.19324534112259206
2010-12,0.13,0.21286994348989552
2011-01,0.17,0.09902307244352526
2011-02,0.16,0.15165221934866424
2011-03,0.1,0.22273719630479505
2011-04,0.09,0.13482539221753576
2011-05,0.1,0.13076144024961822
2011-06,0.07,0.08898268487721839
2011-07,0.11,0.02186277700876338
2011-08,0.08,0.05128088729044311
2011-09,0.06,0.029226224259218947
2011-10,0.09,0.04128604787162615
2011-11,0.1,0.06280202455739747
2011-12,0.04,0.12059664710704321
2012-01,0.11,0.0
2012-02,0.1,0.07704223954300193
2012-03,0.09,0.13728334093885364
2012-04,0.16,0.1285893849579296
2012-05,0.16,0.13828538309454474
2012-06,0.09,0.09278800246789931
2012-07,0.13,0.05113781538936468
2012-08,0.13,0.10314246480825151
2012-09,0.09,0.0483240817028161
2012-10,0.18,0.060782313523364495
2012-11,0.16,0.12383727218639229
2012-12,0.09,0.08293511373921203
2013-01,0.15,0.08551809133963495
2013-02,0.14,0.11098150275057717
2013-03,0.09,0.10810180825631521
2013-04,0.14,0.04066309576528848
2013-05,0.09,0.12135065462516703
2013-06,0.07,0.09150554675365319
2013-07,0.09,0.05133980677496908
2013-08,0.07,0.09413660792469991
2013-09,0.06,0.03053062364073078
2013-10,0.07,0.0
2013-11,0.07,0.03675447095118045
2013-12,0.07,0.0486224885251072
2014-01,0.07,0.07487716970320646
2014-02,0.06,0.07530856065344582
2014-03,0.06,0.03901645969947243
2014-04,0.09,0.07422045969828428
2014-05,0.08,0.11082547163298329
2014-06,0.09,0.12857361240786447
2014-07,0.08,0.17116760138989662
2014-08,0.07,0.07015387668838513
2014-09,0.07,0.1327042646974339
2014-10,0.07,0.08006431208535925
2014-11,0.08,0.08266105201123897
2014-12,0.06,0.08555778808851433
2015-01,0.06,0.06405511639103278
2015-02,0.06,0.09326999143676296
2015-03,0.06,0.07971510490797629
2015-04,0.08,0.07268760312629019
2015-05,0.08,0.12162959614634805
2015-06,0.08,0.11769896405308677
2015-07,0.08,0.09873212784059637
2015-08,0.08,0.09637630625893312
2015-09,0.07,0.09002482627573771
2015-10,0.07,0.12145133948295617
2015-11,0.08,0.18291912539196598
2015-12,0.2,0.17364446069310935
2016-01,0.29,0.28458735388781564
2016-02,0.29,0.3348057746225188
2016-03,0.25,0.3129816415614475
2016-04,0.3,0.3267898241574678
2016-05,0.29,0.3577741352421966
2016-06,0.3,0.30304088650539085
2016-07,0.3,0.35330506063096934
2016-08,0.3,0.3998118947370073
2016-09,0.29,0.429183723108985
2016-10,0.31,0.39469097524494745
2016-11,0.31,0.3636035632479926
2016-12,0.55,0.3899020540715086
2017-01,0.56,0.7130825031528222
2017-02,0.57,0.6554912709279577
2017-03,0.82,0.6724689837188982
2017-04,0.83,0.8940635752920078
2017-05,0.83,0.9176305481520731
2017-06,1.06,0.9746688934596659
2017-07,1.07,1.205860544829117
2017-08,1.07,1.1858939293225397
2017-09,1.06,1.1947475921771697
2017-10,1.07,1.1230611947927898
2017-11,1.07,1.1699767202905273
2017-12,1.33,1.2003339249980813
2018-01,1.34,1.4285154514194525
2018-02,1.35,1.3996811749124283
2018-03,1.67,1.4386982502048054
2018-04,1.69,1.7393561190150941
2018-05,1.7,1.7188956743331496
2018-06,1.91,1.788501671605355
2018-07,1.91,1.9894783524395327
2018-08,1.91,1.9488075684584274
2018-09,2.18,1.9450922544876947
2018-10,2.2,2.2582215677880404
2018-11,2.2,2.205566148804201
2018-12,2.4,2.2019180628570534
2019-01,2.4,2.36421778488457
2019-02,2.4,2.392446418331513
2019-03,2.43,2.3731606753960817
2019-04,2.45,2.387533719762331
2019-05,2.4,2.4491984525592967
2019-06,2.4,2.393331226781074
2019-07,2.4,2.396402313657413
